date,tv_spend,paid_search_spend,paid_social_spend,display_spend,promo_spend,price_index,sales
2022-01-03,8993.428306022466,7238.929413373708,5238.124523482045,1575.599081911578,3093.186626639397,1.0088850500466626,24155.655113944304
2022-01-10,7723.47139765763,5568.599505094145,5220.264454000958,1539.345407484256,988.7843235688149,0.9332327820644949,29183.984267501273
2022-01-17,9295.377076201385,3570.4358033568215,5958.218210731494,1779.9586422786847,510.39517974141916,1.0190098925502982,26079.531286525948
2022-01-24,11046.059712816052,5787.864330360596,4031.5057624491387,158.46306821153212,1374.2130799003519,1.0305292872641911,26516.052514872954
2022-01-31,7531.693250553328,3830.3819957272144,5022.9294569424455,787.8471502411583,1555.7249122886947,1.027989522396552,25932.639868935425
2022-02-07,7531.726086101638,5944.501524490943,3534.599865109816,3093.4994139556197,2594.1915184709487,1.054039036277731,28312.794790739586
2022-02-14,11158.425631014783,6390.314694808885,4486.249528732663,3315.974170801027,0.0,1.0416961077274451,29014.34308741885
2022-02-21,9534.869458305817,4015.181217977947,3804.785418448473,1800.7711683548973,3029.5503194606135,1.0229590039614218,29085.930966615644
2022-02-28,7061.051228130096,6156.051355093186,4145.493947489077,2461.245570444613,1341.9921014210106,0.9964917144270676,32223.72268676342
2022-03-07,9085.12008717193,5495.337112323798,4892.735538155371,2249.000123634829,1073.11893005258,0.9169519533242004,33493.44204696847
2022-03-14,7073.164614375076,5986.472191993388,2772.6689751497915,4463.10464676419,487.89562473983256,1.0214809109566292,28709.479073564675
2022-03-21,7068.540492859486,7276.151579184737,7138.580913528191,2895.6599291476614,0.0,1.0103843843581555,30710.730539469896
2022-03-28,8483.924543132069,4705.534260796556,2490.973927750447,1897.6659268153867,2323.1705839619144,1.0135789418597687,30497.86114741465
2022-04-04,4173.439510684404,4095.5166027710125,2178.717080818402,1235.5676475196594,1573.3179671884038,0.9361625712089845,32479.053996328523
2022-04-11,4550.164334973934,3932.582684449372,5737.166310250102,714.8429437939419,210.03910025894606,0.9459471729795869,31230.985934573215
2022-04-18,6875.424941518055,4021.027658041474,5187.494040944404,2162.7709086937784,204.92122793638396,1.0526576426666452,27901.679000549862
2022-04-25,5974.3377593311525,4907.477948703075,4936.179725578233,1394.9194037725574,1164.2153007098718,0.9980222423071673,28987.815185398074
2022-05-02,8628.494665190548,5409.382369779973,4942.51826389642,862.1970323218607,3169.021525289393,1.0340750348686312,30469.83369229176
2022-05-09,6183.9518489575785,5332.028959196023,3981.629840729628,1482.7416926059786,1240.4086486363954,1.001415918806523,29575.845374233846
2022-05-16,5175.392597329417,5992.619898843229,2654.1184427712524,1134.761597108484,0.0,1.0014878069747872,29386.02842995647
2022-05-23,10931.297537843107,5015.602270253488,4113.70683729059,3349.7133080580516,1254.2569359140557,1.0469141902988,27789.825590103625
2022-05-30,7548.447399026929,6744.24089258878,2984.2574327318325,2705.3118055595605,1227.2764302523296,0.9741977635891313,30263.49198644859
2022-06-06,8135.056409375848,4682.4118001144525,5462.679600126627,1993.6218869467061,0.0,1.0048060388470492,27998.60735938901
